MultiUAV-072.txt:	 MOTA: -0.175094,	 FP: 8540, 	 FN:14743,	 SW:1327
MultiUAV-074.txt:	 MOTA: 0.799314,	 FP: 2638, 	 FN:2620,	 SW:10
MultiUAV-077.txt:	 MOTA: 0.830116,	 FP: 2182, 	 FN:2250,	 SW:3
MultiUAV-082.txt:	 MOTA: 0.656533,	 FP: 3337, 	 FN:5509,	 SW:170
MultiUAV-083.txt:	 MOTA: 0.567359,	 FP: 4975, 	 FN:6254,	 SW:85
MultiUAV-084.txt:	 MOTA: 0.753948,	 FP: 2712, 	 FN:3325,	 SW:149
MultiUAV-090.txt:	 MOTA: 0.614971,	 FP: 4269, 	 FN:5515,	 SW:323
MultiUAV-091.txt:	 MOTA: 0.622158,	 FP: 4322, 	 FN:5344,	 SW:105
MultiUAV-093.txt:	 MOTA: 0.742341,	 FP: 2653, 	 FN:3862,	 SW:205
MultiUAV-097.txt:	 MOTA: 0.721981,	 FP: 3578, 	 FN:3484,	 SW:236
MultiUAV-101.txt:	 MOTA: 0.347568,	 FP: 5857, 	 FN:9350,	 SW:1706
MultiUAV-103.txt:	 MOTA: 0.953853,	 FP: 652, 	 FN:500,	 SW:54
MultiUAV-106.txt:	 MOTA: 0.300962,	 FP: 1444, 	 FN:4925,	 SW:246
MultiUAV-109.txt:	 MOTA: 0.275509,	 FP: 3198, 	 FN:9383,	 SW:370
MultiUAV-111.txt:	 MOTA: 0.273632,	 FP: 6670, 	 FN:10008,	 SW:1349
MultiUAV-113.txt:	 MOTA: 0.273859,	 FP: 6111, 	 FN:10088,	 SW:1476
MultiUAV-116.txt:	 MOTA: 0.182757,	 FP: 6040, 	 FN:11853,	 SW:1653
MultiUAV-119.txt:	 MOTA: 0.063945,	 FP: 389, 	 FN:1474,	 SW:40
MultiUAV-121.txt:	 MOTA: 0.091026,	 FP: 535, 	 FN:1522,	 SW:60
MultiUAV-123.txt:	 MOTA: 0.119740,	 FP: 662, 	 FN:1863,	 SW:48
MultiUAV-125.txt:	 MOTA: 0.014011,	 FP: 396, 	 FN:1451,	 SW:53
MultiUAV-127.txt:	 MOTA: 0.379669,	 FP: 368, 	 FN:1219,	 SW:24
MultiUAV-129.txt:	 MOTA: 0.195027,	 FP: 633, 	 FN:1584,	 SW:49
MultiUAV-130.txt:	 MOTA: 0.200955,	 FP: 583, 	 FN:1724,	 SW:35
MultiUAV-135.txt:	 MOTA: 0.244190,	 FP: 784, 	 FN:1233,	 SW:32
MultiUAV-141.txt:	 MOTA: 0.012858,	 FP: 829, 	 FN:1520,	 SW:31
MultiUAV-148.txt:	 MOTA: 0.345293,	 FP: 2822, 	 FN:7737,	 SW:408
MultiUAV-153.txt:	 MOTA: 0.342667,	 FP: 2976, 	 FN:7790,	 SW:573
MultiUAV-156.txt:	 MOTA: 0.315371,	 FP: 2862, 	 FN:7879,	 SW:630
MultiUAV-158.txt:	 MOTA: 0.112000,	 FP: 2859, 	 FN:10925,	 SW:543
MultiUAV-160.txt:	 MOTA: 0.369757,	 FP: 3507, 	 FN:7679,	 SW:505
MultiUAV-163.txt:	 MOTA: 0.205467,	 FP: 3356, 	 FN:10616,	 SW:417
MultiUAV-170.txt:	 MOTA: 0.068409,	 FP: 5401, 	 FN:9624,	 SW:336
MultiUAV-173.txt:	 MOTA: -0.192132,	 FP: 4171, 	 FN:6501,	 SW:267
MultiUAV-176.txt:	 MOTA: 0.112533,	 FP: 5401, 	 FN:4503,	 SW:80
MultiUAV-178.txt:	 MOTA: -0.409888,	 FP: 8384, 	 FN:7112,	 SW:103
MultiUAV-180.txt:	 MOTA: 0.123644,	 FP: 5581, 	 FN:4127,	 SW:151
MultiUAV-184.txt:	 MOTA: 0.753929,	 FP: 594, 	 FN:2090,	 SW:72
MultiUAV-186.txt:	 MOTA: 0.860974,	 FP: 591, 	 FN:900,	 SW:59
MultiUAV-190.txt:	 MOTA: 0.737956,	 FP: 1350, 	 FN:1548,	 SW:50
MultiUAV-194.txt:	 MOTA: 0.504089,	 FP: 2043, 	 FN:3179,	 SW:357
MultiUAV-195.txt:	 MOTA: 0.707467,	 FP: 1468, 	 FN:1718,	 SW:105
MultiUAV-200.txt:	 MOTA: 0.111111,	 FP: 5667, 	 FN:8868,	 SW:145
MultiUAV-206.txt:	 MOTA: 0.482331,	 FP: 4265, 	 FN:6510,	 SW:754
MultiUAV-207.txt:	 MOTA: 0.633105,	 FP: 3084, 	 FN:4834,	 SW:321
MultiUAV-209.txt:	 MOTA: 0.602984,	 FP: 2720, 	 FN:5939,	 SW:256
MultiUAV-211.txt:	 MOTA: 0.531274,	 FP: 3812, 	 FN:6297,	 SW:360
MultiUAV-217.txt:	 MOTA: -0.079067,	 FP: 10287, 	 FN:13687,	 SW:305
MultiUAV-219.txt:	 MOTA: 0.045200,	 FP: 9824, 	 FN:11126,	 SW:533
MultiUAV-225.txt:	 MOTA: 0.501022,	 FP: 4081, 	 FN:6793,	 SW:353
MultiUAV-227.txt:	 MOTA: -0.854756,	 FP: 19405, 	 FN:22305,	 SW:22
MultiUAV-229.txt:	 MOTA: -0.142622,	 FP: 11895, 	 FN:13677,	 SW:137
MultiUAV-232.txt:	 MOTA: -0.291448,	 FP: 6750, 	 FN:8117,	 SW:128
MultiUAV-234.txt:	 MOTA: 0.296067,	 FP: 4205, 	 FN:5953,	 SW:401
MultiUAV-237.txt:	 MOTA: 0.084067,	 FP: 5888, 	 FN:7528,	 SW:323
MultiUAV-238.txt:	 MOTA: 0.055133,	 FP: 5971, 	 FN:8001,	 SW:201
MultiUAV-242.txt:	 MOTA: 0.355067,	 FP: 4274, 	 FN:5286,	 SW:114
MultiUAV-243.txt:	 MOTA: 0.612467,	 FP: 2311, 	 FN:3367,	 SW:135
MultiUAV-250.txt:	 MOTA: 0.588641,	 FP: 2400, 	 FN:3404,	 SW:215
MultiUAV-257.txt:	 MOTA: 0.549715,	 FP: 2810, 	 FN:3674,	 SW:146
MultiUAV-261.txt:	 MOTA: -0.265498,	 FP: 4789, 	 FN:6174,	 SW:81
MultiUAV-262.txt:	 MOTA: -0.147378,	 FP: 6503, 	 FN:6335,	 SW:70
MultiUAV-263.txt:	 MOTA: -0.045422,	 FP: 5021, 	 FN:6605,	 SW:135
MultiUAV-264.txt:	 MOTA: -0.011467,	 FP: 5764, 	 FN:5532,	 SW:83
MultiUAV-266.txt:	 MOTA: 0.073524,	 FP: 4844, 	 FN:4826,	 SW:58
MultiUAV-269.txt:	 MOTA: 0.060252,	 FP: 2952, 	 FN:3114,	 SW:48
MultiUAV-274.txt:	 MOTA: 0.025707,	 FP: 7779, 	 FN:10291,	 SW:198
MultiUAV-280.txt:	 MOTA: 0.419183,	 FP: 3964, 	 FN:4493,	 SW:63
MultiUAV-282.txt:	 MOTA: 0.007000,	 FP: 6297, 	 FN:8443,	 SW:155
MultiUAV-287.txt:	 MOTA: 0.084254,	 FP: 5905, 	 FN:6135,	 SW:68
MultiUAV-288.txt:	 MOTA: -0.269614,	 FP: 2293, 	 FN:2001,	 SW:43
MultiUAV-290.txt:	 MOTA: -0.216362,	 FP: 2262, 	 FN:2431,	 SW:35
MultiUAV-292.txt:	 MOTA: 0.403916,	 FP: 728, 	 FN:910,	 SW:6
MultiUAV-297.txt:	 MOTA: -0.670362,	 FP: 5937, 	 FN:5901,	 SW:65
MultiUAV-299.txt:	 MOTA: -0.638094,	 FP: 5142, 	 FN:4866,	 SW:63
